filename,media_type,category,title,description,grid_span,poster,preview
2D-01.jpg,image,print,fundi print 01,Lorem Ipsum,1x1,,
2D-02.jpg,image,print,fundi print 02,Lorem Ipsum,2x1,,
2D-03.jpg,image,print,fundi print 03,Lorem Ipsum,1x1,,
2D-04.jpg,image,print,fundi print 04,Lorem Ipsum,1x1,,
2D-05.jpg,image,title,Legacy,Lorem Ipsum,2x1,,
2D-06.jpg,image,title,Bad For Me,Lorem Ipsum,2x1,,
2D-07.jpg,image,title,Pumpgun,Lorem Ipsum,2x1,,
2D-08.jpg,image,title,Tell me bout,Lorem Ipsum,1x1,,
2D-09.jpg,image,title,Go For You,Lorem Ipsum,1x1,,
2D-10.jpg,image,title,Wavy,Lorem Ipsum,2x1,,
2D-11.jpg,image,print,can we talk?,Lorem Ipsum,1x1,,
2D-12.jpg,image,print,a little walk,Lorem Ipsum,1x1,,
2D-13.jpg,image,print,volume or value,Lorem Ipsum,1x1,,
2D-14.jpg,image,print,ete print 2022,Lorem Ipsum,1x1,,
2D-15.jpg,image,print,flumo print 2023,Lorem Ipsum,1x1,,
2D-16.jpg,image,print,Rosbeh,Lorem Ipsum,1x1,,
2D-17.jpg,image,print,ete print 2025,Lorem Ipsum,1x1,,
2D-18.jpg,image,print,funktion_01,Lorem Ipsum,1x1,,
2D-19.jpg,image,print,funktion_02,Lorem Ipsum,1x1,,
2D-20.jpg,image,print,funktion_03,Lorem Ipsum,1x1,,
3D-Fundi-01.mp4,video,3D Scan,fundi_01,Lorem Ipsum,1x2,3D-Fundi-01.mp4.jpg,3D-Fundi-01.preview.mp4
3D-Fundi-02.mp4,video,3D Scan,fundi_02,Lorem Ipsum,1x2,3D-Fundi-02.mp4.jpg,3D-Fundi-02.preview.mp4
3D-Fundi-03.mp4,video,3D Scan,fundi_03,Lorem Ipsum,1x2,3D-Fundi-03.mp4.jpg,3D-Fundi-03.preview.mp4
3D-Fundi-04.mp4,video,3D Scan,fundi_04,Lorem Ipsum,1x2,3D-Fundi-04.mp4.jpg,3D-Fundi-04.preview.mp4
3D-Fundi-05.mp4,video,3D Scan,fundi_05,Lorem Ipsum,1x2,3D-Fundi-05.mp4.jpg,3D-Fundi-05.preview.mp4
3D-KK-01.mp4,video,3D Abstract,Kinokabaret 2025,Lorem Ipsum,1x1,3D-KK-01.mp4.jpg,3D-KK-01.preview.mp4
3D-KK-02.mp4,video,3D,Kinokabaret 2026,Lorem Ipsum,1x1,3D-KK-02.mp4.jpg,3D-KK-02.preview.mp4
3D-Nordevent-01.mp4,video,3D,Brides and Grooms,Lorem Ipsum,1x1,3D-Nordevent-01.mp4.jpg,3D-Nordevent-01.preview.mp4
3D-Nordevent-02.mp4,video,3D,Wellenklang x Gin Sul,Lorem Ipsum,1x1,3D-Nordevent-02.mp4.jpg,3D-Nordevent-02.preview.mp4
3D-Ver-01.mp4,video,3D,Ver_01,Lorem Ipsum,1x2,3D-Ver-01.mp4.jpg,3D-Ver-01.preview.mp4
3D-Ver-02.mp4,video,3D Abstract,Ver_02,Lorem Ipsum,1x1,3D-Ver-02.mp4.jpg,3D-Ver-02.preview.mp4
3D-Ver-03.mp4,video,3D Abstract,Ver_03,Lorem Ipsum,1x2,3D-Ver-03.mp4.jpg,3D-Ver-03.preview.mp4
3D-Ver-04.mp4,video,3D Abstract,Ver_04,Lorem Ipsum,1x2,3D-Ver-04.mp4.jpg,3D-Ver-04.preview.mp4
3D-Ver-05.mp4,video,3D,Ver_05,Lorem Ipsum,1x1,3D-Ver-05.mp4.jpg,3D-Ver-05.preview.mp4
3D-Ver-06.mp4,video,3D Abstract,Ver_06,Lorem Ipsum,1x2,3D-Ver-06.mp4.jpg,3D-Ver-06.preview.mp4
3D-Ver-07.mp4,video,3D Abstract,Ver_07,Lorem Ipsum,1x2,3D-Ver-07.mp4.jpg,3D-Ver-07.preview.mp4
3D-Ver-08.mp4,video,3D,Ver_08,Lorem Ipsum,1x2,3D-Ver-08.mp4.jpg,3D-Ver-08.preview.mp4
